id,A,B,ref_A,ref_B
412,00009_ESRGAN_hi.png,00010_ESRGAN_hi.png,00009,00010
413,00010_ArNet_hi.png,00009_ArNet_hi.png,00010,00009
414,00012_HiFiC_lo.png,00010_HiFiC_lo.png,00012,00010
415,00012_ESRGAN_lo.png,00010_ESRGAN_lo.png,00012,00010
416,00010_ArNet_lo.png,00012_ArNet_lo.png,00010,00012
417,00012_HiFiC_mi.png,00010_HiFiC_mi.png,00012,00010
418,00010_ESRGAN_mi.png,00012_ESRGAN_mi.png,00010,00012
419,00012_ArNet_mi.png,00010_ArNet_mi.png,00012,00010
420,00010_HiFiC_hi.png,00012_HiFiC_hi.png,00010,00012
421,00012_ESRGAN_hi.png,00010_ESRGAN_hi.png,00012,00010
422,00012_ArNet_hi.png,00010_ArNet_hi.png,00012,00010
423,00012_HiFiC_lo.png,00002_HiFiC_lo.png,00012,00002
424,00012_ESRGAN_lo.png,00002_ESRGAN_lo.png,00012,00002
425,00012_ArNet_lo.png,00002_ArNet_lo.png,00012,00002
426,00012_HiFiC_mi.png,00002_HiFiC_mi.png,00012,00002
427,00012_ESRGAN_mi.png,00002_ESRGAN_mi.png,00012,00002
428,00012_ArNet_mi.png,00002_ArNet_mi.png,00012,00002
429,00002_HiFiC_hi.png,00012_HiFiC_hi.png,00002,00012
430,00012_ESRGAN_hi.png,00002_ESRGAN_hi.png,00012,00002
431,00012_ArNet_hi.png,00002_ArNet_hi.png,00012,00002
432,00002_HiFiC_lo.png,00002_hevc_lo.png,00002,00002
433,00002_hevc_mi.png,00002_HiFiC_mi.png,00002,00002
434,00002_HiFiC_hi.png,00002_hevc_hi.png,00002,00002
435,00004_hevc_lo.png,00004_HiFiC_lo.png,00004,00004
436,00004_HiFiC_mi.png,00004_hevc_mi.png,00004,00004
437,00004_hevc_hi.png,00004_HiFiC_hi.png,00004,00004
438,00005_HiFiC_lo.png,00005_hevc_lo.png,00005,00005
439,00005_hevc_mi.png,00005_HiFiC_mi.png,00005,00005
440,00005_HiFiC_hi.png,00005_hevc_hi.png,00005,00005
441,00006_hevc_lo.png,00006_HiFiC_lo.png,00006,00006
442,00006_hevc_mi.png,00006_HiFiC_mi.png,00006,00006
443,00006_HiFiC_hi.png,00006_hevc_hi.png,00006,00006
444,00008_HiFiC_lo.png,00008_hevc_lo.png,00008,00008
445,00008_HiFiC_mi.png,00008_hevc_mi.png,00008,00008
446,00008_HiFiC_hi.png,00008_hevc_hi.png,00008,00008
447,00009_HiFiC_lo.png,00009_hevc_lo.png,00009,00009
448,00009_HiFiC_mi.png,00009_hevc_mi.png,00009,00009
449,00009_hevc_hi.png,00009_HiFiC_hi.png,00009,00009
450,00010_HiFiC_lo.png,00010_hevc_lo.png,00010,00010
451,00010_hevc_mi.png,00010_HiFiC_mi.png,00010,00010
452,00010_HiFiC_hi.png,00010_hevc_hi.png,00010,00010
453,00012_HiFiC_lo.png,00012_hevc_lo.png,00012,00012
454,00012_HiFiC_mi.png,00012_hevc_mi.png,00012,00012
455,00012_hevc_hi.png,00012_HiFiC_hi.png,00012,00012
